"relative_path","category","title_from_filename","size_bytes"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\509. Hardhat-wearing detection for Enhancing On-Site Safety of COnstruction Workers.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","509. Hardhat-wearing detection for Enhancing On-Site Safety of COnstruction Workers","30250100"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\510. Computer vision aided inspection on falling prevention measures for steeplejacks in an aerial environment.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","510. Computer vision aided inspection on falling prevention measures for steeplejacks in an aerial environment","4866205"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\511. Deep learning for site safety - Real-time detection of personal protective equipment.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","511. Deep learning for site safety - Real-time detection of personal protective equipment","8026829"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\512. A vision-based method for automatic tracking of construction machines at nighttime based on deep learning illumination enhancement.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","512. A vision-based method for automatic tracking of construction machines at nighttime based on deep learning illumination enhancement","3076709"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\513. Using Context-Guided data Augmentation, lightweight CNN, and proximity detection techniques to improve site safety monitoring under occlusion conditions.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","513. Using Context-Guided data Augmentation, lightweight CNN, and proximity detection techniques to improve site safety monitoring under occlusion conditions","14284742"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\519. Deep learning with small datasets - using autoencoders to address limited datasets in construction management.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","519. Deep learning with small datasets - using autoencoders to address limited datasets in construction management","4100127"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\520. Dataset and benchmark for detecting moving objects in construction sites.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","520. Dataset and benchmark for detecting moving objects in construction sites","10429175"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\521. A few-shot learning approach for database-free vision-based monitoring on construction sites.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","521. A few-shot learning approach for database-free vision-based monitoring on construction sites","9091453"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\522. Synthetic data generation using building information models.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","522. Synthetic data generation using building information models","4491745"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\523. Synthetic image data generation using BIM and computer graphics for building scene understanding.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","523. Synthetic image data generation using BIM and computer graphics for building scene understanding","15786716"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\525. Crowdsourced reliable labeling of safety-rule violations on images of complex construction scenes for advanced vision-based workplace safety.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","525. Crowdsourced reliable labeling of safety-rule violations on images of complex construction scenes for advanced vision-based workplace safety","9831081"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\526. Knowledge graph for identifying hazards on construction sites - Integrating computer vision with ontology.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","526. Knowledge graph for identifying hazards on construction sites - Integrating computer vision with ontology","2391127"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\527. Video2Entities A computer vision-based entity extraction framework for updating the architecture, engineering and construction industry.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","527. Video2Entities A computer vision-based entity extraction framework for updating the architecture, engineering and construction industry","10887131"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\528. Combining computer vision with semantic reasoning for on-site safety management in construction.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","528. Combining computer vision with semantic reasoning for on-site safety management in construction","14455385"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\529. Graph-based linguistic and visual information integration for on-site occupational hazards identification.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","529. Graph-based linguistic and visual information integration for on-site occupational hazards identification","16115870"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\Traditional_Progress_80. Computer aided Civil Eng - 2021 - Jung - 3D convolutional neural network‐based one‐stage model for real‐time action.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","Traditional_Progress_80. Computer aided Civil Eng - 2021 - Jung - 3D convolutional neural network‐based one‐stage model for real‐time action","1764858"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\Traditional_Safety_31.. Real-Time Detection of Personal Protective Equipment Violations for Construction Workers.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","Traditional_Safety_31.. Real-Time Detection of Personal Protective Equipment Violations for Construction Workers","3452961"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\Traditional_Safety_69. Personalized stability monitoring based on body postures of construction workers working at heights.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","Traditional_Safety_69. Personalized stability monitoring based on body postures of construction workers working at heights","8302873"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\Traditional_Safety_75. Standardized use inspection of workers personal protective equipment based on deep learning.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","Traditional_Safety_75. Standardized use inspection of workers personal protective equipment based on deep learning","20100661"
"02_Review_Papers\All Review Papers\01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline\Traditional_Safety_82. tang-golparvar-fard-2021-machine-learning-based-risk-analysis-for-construction-worker-safety.pdf","01. Baseline Papers - The Problem Branch\C) Unimodal CV Baseline","Traditional_Safety_82. tang-golparvar-fard-2021-machine-learning-based-risk-analysis-for-construction-worker-safety","3124393"
"02_Review_Papers\All Review Papers\02. Transition Papers\Traditional_Progress_28. Transformer-based deep learning model and video dataset for installation action recognition in offsite projects.pdf","02. Transition Papers","Traditional_Progress_28. Transformer-based deep learning model and video dataset for installation action recognition in offsite projects","7883463"
"02_Review_Papers\All Review Papers\02. Transition Papers\Traditional_Progress_61. DART An automated end-to-end object detection pipeline .PDF","02. Transition Papers","Traditional_Progress_61. DART An automated end-to-end object detection pipeline ","13998260"
"02_Review_Papers\All Review Papers\02. Transition Papers\Traditional_Progress_67. Make it till you fake it Construction-centric computational framework for simultaneous image synthetization.pdf","02. Transition Papers","Traditional_Progress_67. Make it till you fake it Construction-centric computational framework for simultaneous image synthetization","14098894"
"02_Review_Papers\All Review Papers\02. Transition Papers\Traditional_Safety_71. Transformer-based deep learning model and video dataset for unsafe action identification in construction.pdf","02. Transition Papers","Traditional_Safety_71. Transformer-based deep learning model and video dataset for unsafe action identification in construction","3151990"
"02_Review_Papers\All Review Papers\02. Transition Papers\Traditional_Safety_89. Onsite video mining for construction hazards identification with visual relationships.pdf","02. Transition Papers","Traditional_Safety_89. Onsite video mining for construction hazards identification with visual relationships","6532689"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_101. Sun, Y., Gu, Z., & Yang, S.B. (2024). Probing vision and language models for construction waste material recognition.pdf","03. Core Papers (Safety, Progress)","Progress_101. Sun, Y., Gu, Z., & Yang, S.B. (2024). Probing vision and language models for construction waste material recognition","2215551"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_11. Automating on-site object inspection with a quadruped robot and BIM.pdf","03. Core Papers (Safety, Progress)","Progress_11. Automating on-site object inspection with a quadruped robot and BIM","6243315"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_43. Computer aided Civil Eng - 2025 - Zhang - Training‐free few‐shot construction tool and material detection using pre‐trained.pdf","03. Core Papers (Safety, Progress)","Progress_43. Computer aided Civil Eng - 2025 - Zhang - Training‐free few‐shot construction tool and material detection using pre‐trained","1767709"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_56. Omni-Scan2BIM - A ready-to-use Scan2BIM approach based on vision foundation models for MEP scenes.pdf","03. Core Papers (Safety, Progress)","Progress_56. Omni-Scan2BIM - A ready-to-use Scan2BIM approach based on vision foundation models for MEP scenes","15865431"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_62. Recognizing temporary construction site objects using CLIP-based few-shot learning and multi-modal prototypes.pdf","03. Core Papers (Safety, Progress)","Progress_62. Recognizing temporary construction site objects using CLIP-based few-shot learning and multi-modal prototypes","6712100"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_74. xiao-et-al-2022-deep-learning-image-captioning-in-construction-management-a-feasibility-study.pdf","03. Core Papers (Safety, Progress)","Progress_74. xiao-et-al-2022-deep-learning-image-captioning-in-construction-management-a-feasibility-study","2806710"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_88. Context-based information generation for managing UAV-acquired data using image captioning.pdf","03. Core Papers (Safety, Progress)","Progress_88. Context-based information generation for managing UAV-acquired data using image captioning","3357791"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_94. VisualSiteDiary - A detector-free Vision-Language Transformer model for captioning photologs for daily construction reporting.pdf","03. Core Papers (Safety, Progress)","Progress_94. VisualSiteDiary - A detector-free Vision-Language Transformer model for captioning photologs for daily construction reporting","5536068"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_96. Manifesting construction activity scenes via image captioning.pdf","03. Core Papers (Safety, Progress)","Progress_96. Manifesting construction activity scenes via image captioning","10961389"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_97. Automated daily report generation from construction videos using ChatGPT and computer vision.pdf","03. Core Papers (Safety, Progress)","Progress_97. Automated daily report generation from construction videos using ChatGPT and computer vision","6333379"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_98. Chen, C., et al. (2023). Automatic vision-based calculation of excavator earthmoving productivity.pdf","03. Core Papers (Safety, Progress)","Progress_98. Chen, C., et al. (2023). Automatic vision-based calculation of excavator earthmoving productivity","12030847"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Progress_99. Computer aided Civil Eng - 2025 - Jeoung - Zero‐shot framework for construction equipment task monitoring.pdf","03. Core Papers (Safety, Progress)","Progress_99. Computer aided Civil Eng - 2025 - Jeoung - Zero‐shot framework for construction equipment task monitoring","3894665"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_02. Vision-language model-based intelligent assistant for onsite construction safety inspection.pdf","03. Core Papers (Safety, Progress)","Safety_02. Vision-language model-based intelligent assistant for onsite construction safety inspection","8521928"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_100. Few-shot object detection and attribute recognition from construction site images for improved field compliance.pdf","03. Core Papers (Safety, Progress)","Safety_100. Few-shot object detection and attribute recognition from construction site images for improved field compliance","7643186"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_24. Context-aware vision-language model agent enriched with domain-specific ontology for construction site safety monitoring.pdf","03. Core Papers (Safety, Progress)","Safety_24. Context-aware vision-language model agent enriched with domain-specific ontology for construction site safety monitoring","13798691"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_66. Zero-shot monitoring of construction workers' ' personal protective equipment based on image captioning.pdf","03. Core Papers (Safety, Progress)","Safety_66. Zero-shot monitoring of construction workers' ' personal protective equipment based on image captioning","4578611"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_91. Augemnted Reality, Deep Learning and Vision-language query system for construction worker safety.pdf","03. Core Papers (Safety, Progress)","Safety_91. Augemnted Reality, Deep Learning and Vision-language query system for construction worker safety","10238623"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_92. zhai-et-al-2022-extracting-worker-unsafe-behaviors-from-construction-images-using-image-captioning-with-deep-learning.pdf","03. Core Papers (Safety, Progress)","Safety_92. zhai-et-al-2022-extracting-worker-unsafe-behaviors-from-construction-images-using-image-captioning-with-deep-learning","3222884"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_93. Proactive safety hazard identification using visual-text semantic similarity for construction safety management.pdf","03. Core Papers (Safety, Progress)","Safety_93. Proactive safety hazard identification using visual-text semantic similarity for construction safety management","6993062"
"02_Review_Papers\All Review Papers\03. Core Papers (Safety, Progress)\Safety_Progress_102. Can Vision-Model understand Construction Workers.pdf","03. Core Papers (Safety, Progress)","Safety_Progress_102. Can Vision-Model understand Construction Workers","3866563"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\201. A Review on Privacy-Preserving Techniques for Spatiotemporal Data.pdf","04. Gap Analysis (Review Papers)","201. A Review on Privacy-Preserving Techniques for Spatiotemporal Data","338012"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\202. A Systematic Data-Driven Framework for Integrating AI and Robotics in Construction.pdf","04. Gap Analysis (Review Papers)","202. A Systematic Data-Driven Framework for Integrating AI and Robotics in Construction","437019"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\203. Spatiotemporal Data Mining A Computational Perspective.pdf","04. Gap Analysis (Review Papers)","203. Spatiotemporal Data Mining A Computational Perspective","329383"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\204. A short-term power prediction method based on numerical weather prediction.pdf","04. Gap Analysis (Review Papers)","204. A short-term power prediction method based on numerical weather prediction","4026876"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\205. Spatio-temporal Analysis of Trajectories for Safer Construction Site.pdf","04. Gap Analysis (Review Papers)","205. Spatio-temporal Analysis of Trajectories for Safer Construction Site","949042"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\206. 2020 - Review Basead Safety Management.pdf","04. Gap Analysis (Review Papers)","206. 2020 - Review Basead Safety Management","2191739"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\207. 2019 - Mapping computer vision research in construction.pdf","04. Gap Analysis (Review Papers)","207. 2019 - Mapping computer vision research in construction","3700171"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\208. 2021 - Computer vision applications in construction Current state, opportunities.pdf","04. Gap Analysis (Review Papers)","208. 2021 - Computer vision applications in construction Current state, opportunities","3807945"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\209. 2021 - Review of Image Based Analysais and Applications in Construction.pdf","04. Gap Analysis (Review Papers)","209. 2021 - Review of Image Based Analysais and Applications in Construction","2520861"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\210. 2023_Computer Vision Applications in construction and asset management phases a literature survey.pdf","04. Gap Analysis (Review Papers)","210. 2023_Computer Vision Applications in construction and asset management phases a literature survey","625471"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\212. 2024 - AI integration in construction safety - Current state, challenges, and future.pdf","04. Gap Analysis (Review Papers)","212. 2024 - AI integration in construction safety - Current state, challenges, and future","4586208"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\213. 2024 - Vision-based excavator pose estimation for automatic control.pdf","04. Gap Analysis (Review Papers)","213. 2024 - Vision-based excavator pose estimation for automatic control","2381606"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\214. Automated Methods for Activity Recognitionof Construction Workers and EquipmentState-of-the-Art Review.pdf","04. Gap Analysis (Review Papers)","214. Automated Methods for Activity Recognitionof Construction Workers and EquipmentState-of-the-Art Review","780366"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\506. Productivity monitoring in building construction projects a systematic review.pdf","04. Gap Analysis (Review Papers)","506. Productivity monitoring in building construction projects a systematic review","1547561"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\507. A Systematic Review of Automated Construction Inspection and Progress Monitoring (ACIPM) Applications, Challenges, and Future Directions.pdf","04. Gap Analysis (Review Papers)","507. A Systematic Review of Automated Construction Inspection and Progress Monitoring (ACIPM) Applications, Challenges, and Future Directions","5420055"
"02_Review_Papers\All Review Papers\04. Gap Analysis (Review Papers)\Safety_Review_30. Towards worker-centric construction scene understanding - Status quo and future directions.pdf","04. Gap Analysis (Review Papers)","Safety_Review_30. Towards worker-centric construction scene understanding - Status quo and future directions","13869805"
